title,key,style,tempo,checked,audio_produced,chords,marked_,turnaround,composers
502 Blues,a,,,,,"Am7, Db^7, B%7, E7, Am7, Db^7, B%7, E7, Cm7, F7, Bb^7, Abm7, Db7, F#%7, B7, E^7, E^7, E7, Am7, Db^7, B%7, E7, Am7, Db^7, B%7, E7, Cm7, F7, Bb^7, Abm7, Db7, F#%7, B7, Em7, Em7",|Am7|Db^7|B%7|E7|Am7|Db^7|B%7|E7|Cm7|F7|Bb^7|Abm7 Db7|F#%7|B7|E^7|E^7 E7|Am7|Db^7|B%7|E7|Am7|Db^7|B%7|E7|Cm7|F7|Bb^7|Abm7 Db7|F#%7|B7|Em7|Em7|,0,"Rowles, Jimmy"
Across The Valley From The Alamo,F,,,,,"F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7, F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7, Bb^7, F^7, Bb^7, Bbm7, F^7, A7, Dm7, G7, G7, C7, F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7",|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|Bb^7|F^7|Bb^7 Bbm7|F^7|A7|Dm7 G7|G7|C7|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|,0,"Greene, Joe"
Afro Blue,f,,,,,"Fm7, Gm7, Ab^7, Gm7, Fm7, Fm7, Gm7, Ab^7, Gm7, Fm7, Eb^, Eb^, Db^, Eb^, Fm7, Eb^, Eb^, Db^, Eb^, Fm7",|Fm7|Gm7|Ab^7 Gm7|Fm7|Fm7|Gm7|Ab^7 Gm7|Fm7|Eb^|Eb^|Db^ Eb^|Fm7|Eb^|Eb^|Db^ Eb^|Fm7|,0,"Santamaria, Mongo"
All Of Me,C,,,,,"C^7, C^7, E7, E7, A7, A7, Dm7, Dm7, E7, E7, Am7, Am7, D7, D7, Dm7, G7, C^7, C^7, E7, E7, A7, A7, Dm7, Dm7, F^7, Fm6, Em7, A7, Dm7, G7, C6, Ebo7, Dm7, G7",|C^7|C^7|E7|E7|A7|A7|Dm7|Dm7|E7|E7|Am7|Am7|D7|D7|Dm7|G7|C^7|C^7|E7|E7|A7|A7|Dm7|Dm7|F^7|Fm6|Em7|A7|Dm7|G7|C6 Ebo7|Dm7 G7|,3,"Marks, Gerald"
Armando's Rhumba,c,,,,,"Cm7, D7, G7, Cm7, Cm7, D7, G7, Cm7, C7, Fm7, D7, Gm7, Abo7, D7, Bbsus, Bbsus, Bbsus, Bbsus, Eb6, Eb6, Eb6, Eb6, G7",|Cm7|D7|G7|Cm7|Cm7|D7|G7|Cm7|C7|Fm7|D7|Gm7|Abo7|D7|Bbsus|Bbsus|Bbsus|Bbsus|Eb6&Eb6&Eb6&Eb6|G7|,1,"Corea, Chick"
Autumn Leaves,g,,,,,"Cm7, F7, Bb^7, Eb^7, A%7, D7, Gm6, Gm6, Cm7, F7, Bb^7, Eb^7, A%7, D7, Gm6, Gm6, A%7, D7, Gm6, Gm6, Cm7, F7, Bb^7, Bb^7, A%7, D7, Gm7, Gb7, Fm7, E7, A%7, D7, Gm6, Gm6",|Cm7|F7|Bb^7|Eb^7|A%7|D7|Gm6|Gm6|Cm7|F7|Bb^7|Eb^7|A%7|D7|Gm6|Gm6|A%7|D7|Gm6|Gm6|Cm7|F7|Bb^7|Bb^7|A%7|D7|Gm7 Gb7|Fm7 E7|A%7|D7|Gm6|Gm6|,0,"Kosma, Joseph"
Avalon,B-,,,,,"Cm7, Cm7, F7, F7, Bb6, Bb6, Bb6, G7, Cm7, Cm7, F7, F7, Bb6, Bb6, Bb6, Bb6, Dm7, Dm7, G7, G7, Cm7, Cm7, Ebm7, Ab7, Bb6, Bb6, G7, G7, Cm7, F7, Bb6, Bb6",|Cm7|Cm7|F7|F7|Bb6|Bb6|Bb6|G7|Cm7|Cm7|F7|F7|Bb6|Bb6|Bb6|Bb6|Dm7|Dm7|G7|G7|Cm7|Cm7|Ebm7|Ab7|Bb6|Bb6|G7|G7|Cm7|F7|Bb6|Bb6|,0,"Jolson, Al & DeSylva, Buddy & Rose, Vincent"
Backstage Sally,f,,,,,"Fm6, D7, G7, C7, Ebm7, Ab7, Cm7, F7, Bbm6, Ab7, G7, Gb7, Fm7, Bb7, Ebm7, Ab7, D7, G7, C7, F7, Bb7, Eb7, G%7, C7, Fm6, D7, G7, C7, Fm7, Ab7, Db^, Gb7",|Fm6 D7|G7 C7|Ebm7 Ab7|Cm7 F7|Bbm6 Ab7|G7 Gb7|Fm7 Bb7|Ebm7 Ab7|D7 G7|C7 F7|Bb7 Eb7|G%7 C7|Fm6 D7|G7 C7|Fm7 Ab7|Db^ Gb7|,3,"Shorter, Wayne"
Ballade,F,,,,,"Cm7, F7, Bb^7, Bbm7, Eb7, Ab^7, Dm7, G7, Dm7, Dm7, G7, Gm7, D7, Gm7, C7, F^7, Dm7, A7, D7, D7, G7, G%7, C7, F6, F6",|Cm7 F7|Bb^7|Bbm7 Eb7|Ab^7 Dm7&G7|Dm7|Dm7 G7|Gm7 D7|Gm7 C7|F^7|Dm7 A7|D7|D7|G7|G%7 C7|F6|F6|,0,"Parker, Charlie"
"Baubles, Bangles And Beads",A-,,,,,"Bbm7, Eb7, Cm7, Fm7, Bbm7, Eb7, Ab^7, Ab^7, Dm7, G7, Em7, Am7, Dm7, G7, C^7, C^7, F#m7, B7, E^7, E^7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Gb7, F7, Bbm7, Eb7, Ab^7, Ab^7",|Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Ab^7|Ab^7|Dm7|G7|Em7|Am7|Dm7|G7|C^7|C^7|F#m7|B7|E^7|E^7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Gb7|F7|Bbm7|Eb7|Ab^7|Ab^7|,0,"Wright, Robert & Forrest, George"
Beatrice,F,,,,,"F^7, Gb^7, F^7, Eb^7, Dm7, Eb^7, Dm7, Cm7, Bbm7, Am7, Bb^7, E%7, A7, Dm7, Gm7, Gb^7, Fm7, Gb^7",|F^7|Gb^7|F^7|Eb^7|Dm7|Eb^7|Dm7 Cm7|Bbm7|Am7|Bb^7|E%7 A7|Dm7|Gm7|Gb^7|Fm7|Gb^7|,1,"Rivers, Sam"
"Beautiful Friendship, A",A-,,,,,"C^7, Gb7, F^7, E%7, A7, Am7, D7, Dm7, G7, C^7, Gb7, F^7, E%7, A7, Am7, D7, Dm7, G7, Gm7, C7, F^7, Bb7, Em7, A7, D7, G7, C^7, Gb7, F^7, E%7, A7, Dm7, G7, C6, A7, D7, G7",|C^7|Gb7|F^7|E%7 A7|Am7|D7|Dm7|G7|C^7|Gb7|F^7|E%7 A7|Am7|D7|Dm7|G7|Gm7|C7|F^7|Bb7|Em7|A7|D7|G7|C^7|Gb7|F^7|E%7 A7|Dm7|G7|C6 A7|D7 G7|,3,"Kahn, Donald"
Beautiful Love,d,,,,,"E%7, A7, Dm, Dm, Gm7, C7, F^7, E%7, A7, Dm, Gm7, Bb7, A7, Dm, G7, E%7, A7, E%7, A7, Dm, Dm, Gm7, C7, F^7, E%7, A7, Dm, Gm7, Bb7, A7, Dm, B7, Bb7, A7, Dm, Dm",|E%7|A7|Dm|Dm|Gm7|C7|F^7|E%7 A7|Dm|Gm7|Bb7|A7|Dm|G7|E%7|A7|E%7|A7|Dm|Dm|Gm7|C7|F^7|E%7 A7|Dm|Gm7|Bb7|A7|Dm B7|Bb7 A7|Dm|Dm|,0,"Young, Victor"
Bemsha Swing,C,,,,,"C^, A7, Ab7, Db7, C^, Eb7, D7, Db7, C^, A7, Ab7, Db7, C^, Ab7, Db7, Gb7, F^, D7, Db7, Gb7, F^, Ab7, G7, Db7, C^, A7, Ab7, Db7, C^, Db^7, Db^7",|C^ A7|Ab7 Db7|C^ Eb7|D7 Db7|C^ A7|Ab7 Db7|C^ Ab7|Db7 Gb7|F^ D7|Db7 Gb7|F^ Ab7|G7 Db7|C^ A7|Ab7 Db7|C^ Db^7|Db^7|,2,"Monk, Thelonious"
"Best Things In Life Are Free, The",C,,,,,"C6, C6, C^7, C^7, C6, C6, Ebo7, Dm7, G7, Dm7, Dm7, Dm7, Dm7, G7, Dm7, G7, C^7, C#o7, Dm7, G7, C7, C7, F^7, F^7, D7, D7, Dm7, G7, C6, C6, Em7, A7, Dm7, Dm7, G7, C6, C6",|C6|C6|C^7|C^7|C6|C6 Ebo7|Dm7|G7|Dm7|Dm7|Dm7|Dm7|G7|Dm7 G7|C^7 C#o7|Dm7 G7|C7|C7|F^7|F^7|D7|D7|Dm7|G7|C6|C6|Em7|A7|Dm7|Dm7 G7|C6|C6|,0,"DeSylva, B.G. & Brown, Lew & Henderson, Ray"
Bill Bailey,G,,,,,"G^, G^, G^, G^, G^, G^, Abo7, Am7, D7, D7, D7, D7, D7, D7, D7, G^, Am7, D7, G^, G^, G^, G^, Dm7, G7, C^, C^, C^, C#o7, G^, E7, A7, D7, G^, Am7, D7",|G^|G^|G^|G^|G^|G^ Abo7|Am7|D7|D7|D7|D7|D7|D7|D7|G^|Am7 D7|G^|G^|G^|G^|Dm7|G7|C^|C^|C^|C#o7|G^|E7|A7|D7|G^|Am7 D7|,2,Traditional
Birk's Works,f,,,,,"Fm6, G%7, C7, Fm6, C%7, F7, Bbm7, Bbm7, Fm6, Fm6, Abm7, Db7, G%7, C7, Fm6, Fm6",|Fm6|G%7 C7|Fm6|C%7 F7|Bbm7|Bbm7|Fm6|Fm6|Abm7 Db7|G%7 C7|Fm6|Fm6|,0,"Gillespie, Dizzy"
